date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:17	1472/1472	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Mar%202024%2004:10:00%20GMT	https://claimscotty.vercel.app/robots.txt		(from )
21:10:18	55950/55950	---MCZ	200	added ('OK')	text/html	etag:W/%2264c13968dbcea18fb9f3bad07e0695ad%22	https://claimscotty.vercel.app/	/Users/PerfectMacbook/websites/newconnect/claimscotty.vercel.app/index.html	(from )
21:10:19	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2228ce522ff6b7cd2578ce79fd6fec6d7a%22	https://claimscotty.vercel.app/assets/img/favicon.ico	/Users/PerfectMacbook/websites/newconnect/claimscotty.vercel.app/assets/img/favicon.ico	(from https://claimscotty.vercel.app/)
21:10:20	124962/124962	---MCZ	200	added ('OK')	text/css	etag:W/%223ffbab350748e841d3768b5d1ca48933%22	https://claimscotty.vercel.app/assets/bootstrap/css/bootstrap.min.css	/Users/PerfectMacbook/websites/newconnect/claimscotty.vercel.app/assets/bootstrap/css/bootstrap.min.css	(from https://claimscotty.vercel.app/)
21:10:21	108788/108788	---MCZ	200	added ('OK')	text/css	etag:W/%2232770f9307b009ba99a5afe6d84a5750%22	https://claimscotty.vercel.app/assets/css/icofont.css	/Users/PerfectMacbook/websites/newconnect/claimscotty.vercel.app/assets/css/icofont.css	(from https://claimscotty.vercel.app/)
21:10:22	36995/36995	---MCZ	200	added ('OK')	text/css	etag:W/%2217e56958a25838720cc1d5a802bf915f%22	https://claimscotty.vercel.app/assets/css/fontawesome-all.min.css	/Users/PerfectMacbook/websites/newconnect/claimscotty.vercel.app/assets/css/fontawesome-all.min.css	(from https://claimscotty.vercel.app/)
21:10:23	69747/69747	---MCZ	200	added ('OK')	text/css	etag:W/%221da8ecf18cc02092ea0687a50cb687ae%22	https://claimscotty.vercel.app/assets/css/animate.css	/Users/PerfectMacbook/websites/newconnect/claimscotty.vercel.app/assets/css/animate.css	(from https://claimscotty.vercel.app/)
21:10:23	2444/2444	---MCZ	200	added ('OK')	text/css	etag:W/%229f3094dafc617cd3a5167a9f5939488d%22	https://claimscotty.vercel.app/assets/css/meanmenu.min.css	/Users/PerfectMacbook/websites/newconnect/claimscotty.vercel.app/assets/css/meanmenu.min.css	(from https://claimscotty.vercel.app/)
21:10:25	72052/72052	---MCZ	200	added ('OK')	text/css	etag:W/%222a7ea4494ff181ace5aab3171dd5c9c1%22	https://claimscotty.vercel.app/rs-plugin/css/settings.css	/Users/PerfectMacbook/websites/newconnect/claimscotty.vercel.app/rs-plugin/css/settings.css	(from https://claimscotty.vercel.app/)
21:10:25	37615/37615	---MCZ	200	added ('OK')	text/css	etag:W/%22b6a2b8985732cddef24c2765ca508b44%22	https://claimscotty.vercel.app/assets/css/extralayers.css	/Users/PerfectMacbook/websites/newconnect/claimscotty.vercel.app/assets/css/extralayers.css	(from https://claimscotty.vercel.app/)
